source,sector,year,flow_stage,amount_usd
oecd_crs,food_aid,2015,disbursement,9784610.0
oecd_crs,food_aid,2016,commitment,3656426.0
oecd_crs,food_aid,2016,disbursement,3619182.0
oecd_crs,food_aid,2017,commitment,443946.0
oecd_crs,food_aid,2017,disbursement,4124501.0
oecd_crs,food_aid,2018,commitment,6933420.0
oecd_crs,food_aid,2018,disbursement,3680469.0
oecd_crs,food_aid,2019,commitment,504608.0
oecd_crs,food_aid,2019,disbursement,3689054.0
oecd_crs,food_aid,2020,commitment,776078.0
oecd_crs,food_aid,2020,disbursement,3177284.0
oecd_crs,food_aid,2021,commitment,3973190.0
oecd_crs,food_aid,2021,disbursement,466190.0
oecd_crs,food_aid,2022,commitment,262908.0
oecd_crs,food_aid,2022,disbursement,3829293.0
oecd_crs,food_aid,2023,commitment,33383094.0
oecd_crs,food_aid,2023,disbursement,283094.0
oecd_crs,food_aid,2024,commitment,79550.0
oecd_crs,food_aid,2024,disbursement,23573811.0
oecd_crs,governance,2015,commitment,67083873.0
oecd_crs,governance,2015,disbursement,107717190.0
oecd_crs,governance,2016,commitment,56979065.0
oecd_crs,governance,2016,disbursement,123274157.0
oecd_crs,governance,2017,commitment,105312455.0
oecd_crs,governance,2017,disbursement,122330141.0
oecd_crs,governance,2018,commitment,282008261.0
oecd_crs,governance,2018,disbursement,287098369.0
oecd_crs,governance,2019,commitment,246332940.0
oecd_crs,governance,2019,disbursement,190824919.0
oecd_crs,governance,2020,commitment,156655173.0
oecd_crs,governance,2020,disbursement,149249677.0
oecd_crs,governance,2021,commitment,172247424.0
oecd_crs,governance,2021,disbursement,181201809.0
oecd_crs,governance,2022,commitment,110135763.0
oecd_crs,governance,2022,disbursement,115217740.0
oecd_crs,governance,2023,commitment,147353133.0
oecd_crs,governance,2023,disbursement,193038662.0
oecd_crs,governance,2024,commitment,186975675.0
oecd_crs,governance,2024,disbursement,141793913.0
oecd_crs,health,2015,commitment,85943293.0
oecd_crs,health,2015,disbursement,113497306.0
oecd_crs,health,2016,commitment,35326050.0
oecd_crs,health,2016,disbursement,96159169.0
oecd_crs,health,2017,commitment,166768253.0
oecd_crs,health,2017,disbursement,88152708.0
oecd_crs,health,2018,commitment,47494762.0
oecd_crs,health,2018,disbursement,107523860.0
oecd_crs,health,2019,commitment,43826455.0
oecd_crs,health,2019,disbursement,133209787.0
oecd_crs,health,2020,commitment,157381970.0
oecd_crs,health,2020,disbursement,185947100.0
oecd_crs,health,2021,commitment,410128647.0
oecd_crs,health,2021,disbursement,266913276.0
oecd_crs,health,2022,commitment,81976492.0
oecd_crs,health,2022,disbursement,118191509.0
oecd_crs,health,2023,commitment,166430092.0
oecd_crs,health,2023,disbursement,168769976.0
oecd_crs,health,2024,commitment,103469344.0
oecd_crs,health,2024,disbursement,77240033.0
oecd_crs,humanitarian,2015,commitment,680841246.0
oecd_crs,humanitarian,2015,disbursement,246718688.0
oecd_crs,humanitarian,2016,commitment,77423371.0
oecd_crs,humanitarian,2016,disbursement,152090815.0
oecd_crs,humanitarian,2017,commitment,187748176.0
oecd_crs,humanitarian,2017,disbursement,152464797.0
oecd_crs,humanitarian,2018,commitment,44634197.0
oecd_crs,humanitarian,2018,disbursement,179518232.0
oecd_crs,humanitarian,2019,commitment,90860299.0
oecd_crs,humanitarian,2019,disbursement,180803158.0
oecd_crs,humanitarian,2020,commitment,204893381.0
oecd_crs,humanitarian,2020,disbursement,174257573.0
oecd_crs,humanitarian,2021,commitment,30488436.0
oecd_crs,humanitarian,2021,disbursement,136411944.0
oecd_crs,humanitarian,2022,commitment,358522612.0
oecd_crs,humanitarian,2022,disbursement,126114751.0
oecd_crs,humanitarian,2023,commitment,57307697.0
oecd_crs,humanitarian,2023,disbursement,40675307.0
oecd_crs,humanitarian,2024,commitment,209849984.0
oecd_crs,humanitarian,2024,disbursement,69816067.0
oecd_crs,industry,2015,commitment,13412279.0
oecd_crs,industry,2015,disbursement,29998813.0
oecd_crs,industry,2016,commitment,12752291.0
oecd_crs,industry,2016,disbursement,16348525.0
oecd_crs,industry,2017,commitment,17727805.0
oecd_crs,industry,2017,disbursement,32975931.0
oecd_crs,industry,2018,commitment,1003763.0
oecd_crs,industry,2018,disbursement,13998190.0
oecd_crs,industry,2019,commitment,2782056.0
oecd_crs,industry,2019,disbursement,10639328.0
oecd_crs,industry,2020,commitment,2725093.0
oecd_crs,industry,2020,disbursement,4750207.0
oecd_crs,industry,2021,commitment,20002652.0
oecd_crs,industry,2021,disbursement,7396142.0
oecd_crs,industry,2022,commitment,30511807.0
oecd_crs,industry,2022,disbursement,5761188.0
oecd_crs,industry,2023,commitment,39098536.0
oecd_crs,industry,2023,disbursement,19958019.0
oecd_crs,industry,2024,commitment,32895615.0
oecd_crs,industry,2024,disbursement,5932115.0
oecd_crs,multisector,2015,commitment,235349409.0
oecd_crs,multisector,2015,disbursement,80382333.0
oecd_crs,multisector,2016,commitment,25085334.0
oecd_crs,multisector,2016,disbursement,143665125.0
oecd_crs,multisector,2017,commitment,288702787.0
oecd_crs,multisector,2017,disbursement,99214758.0
oecd_crs,multisector,2018,commitment,45612220.0
oecd_crs,multisector,2018,disbursement,159057815.0
oecd_crs,multisector,2019,commitment,78229318.0
oecd_crs,multisector,2019,disbursement,131296382.0
oecd_crs,multisector,2020,commitment,329180549.0
oecd_crs,multisector,2020,disbursement,129168749.0
oecd_crs,multisector,2021,commitment,20002282.0
oecd_crs,multisector,2021,disbursement,87527983.0
oecd_crs,multisector,2022,commitment,21601133.0
oecd_crs,multisector,2022,disbursement,70303826.0
oecd_crs,multisector,2023,commitment,130803528.0
oecd_crs,multisector,2023,disbursement,69098284.0
oecd_crs,multisector,2024,commitment,137153994.0
oecd_crs,multisector,2024,disbursement,83724708.0
oecd_crs,other_social,2015,commitment,23783624.0
oecd_crs,other_social,2015,disbursement,36784061.0
oecd_crs,other_social,2016,commitment,26435457.0
oecd_crs,other_social,2016,disbursement,53368458.0
oecd_crs,other_social,2017,commitment,19575361.0
oecd_crs,other_social,2017,disbursement,39577591.0
oecd_crs,other_social,2018,commitment,19233102.0
oecd_crs,other_social,2018,disbursement,24342512.0
oecd_crs,other_social,2019,commitment,158382622.0
oecd_crs,other_social,2019,disbursement,28653839.0
oecd_crs,other_social,2020,commitment,94774516.0
oecd_crs,other_social,2020,disbursement,84706260.0
oecd_crs,other_social,2021,commitment,75507859.0
oecd_crs,other_social,2021,disbursement,76858210.0
oecd_crs,other_social,2022,commitment,23741394.0
oecd_crs,other_social,2022,disbursement,56484477.0
oecd_crs,other_social,2023,commitment,11088358.0
oecd_crs,other_social,2023,disbursement,37427979.0
oecd_crs,other_social,2024,commitment,47454971.0
oecd_crs,other_social,2024,disbursement,51108690.0
oecd_crs,population,2015,commitment,60744720.0
oecd_crs,population,2015,disbursement,63347701.0
oecd_crs,population,2016,commitment,58403569.0
oecd_crs,population,2016,disbursement,48899893.0
oecd_crs,population,2017,commitment,27939521.0
oecd_crs,population,2017,disbursement,56243242.0
oecd_crs,population,2018,commitment,31902905.0
oecd_crs,population,2018,disbursement,58042760.0
oecd_crs,population,2019,commitment,45601735.0
oecd_crs,population,2019,disbursement,39829794.0
oecd_crs,population,2020,commitment,105010543.0
oecd_crs,population,2020,disbursement,106819296.0
oecd_crs,population,2021,commitment,75248811.0
oecd_crs,population,2021,disbursement,48942430.0
oecd_crs,population,2022,commitment,42504877.0
oecd_crs,population,2022,disbursement,46110428.0
oecd_crs,population,2023,commitment,58773487.0
oecd_crs,population,2023,disbursement,55072559.0
oecd_crs,population,2024,commitment,63022530.0
oecd_crs,population,2024,disbursement,56217818.0
oecd_crs,refugees_in_donor,2020,commitment,6397.0
oecd_crs,refugees_in_donor,2020,disbursement,6397.0
oecd_crs,trade,2015,commitment,5620994.0
oecd_crs,trade,2015,disbursement,3675448.0
oecd_crs,trade,2016,commitment,1420979.0
oecd_crs,trade,2016,disbursement,4735125.0
oecd_crs,trade,2017,commitment,15360018.0
oecd_crs,trade,2017,disbursement,15289433.0
oecd_crs,trade,2018,commitment,15704864.0
oecd_crs,trade,2018,disbursement,9025921.0
oecd_crs,trade,2019,commitment,1694887.0
oecd_crs,trade,2019,disbursement,13372852.0
oecd_crs,trade,2020,commitment,79216475.0
oecd_crs,trade,2020,disbursement,4990137.0
oecd_crs,trade,2021,commitment,801052.0
oecd_crs,trade,2021,disbursement,5456836.0
oecd_crs,trade,2022,commitment,5153520.0
